"Symbol","n","MiaPACA2_EV","MiaPACA2_EV.Detection_Pval","MiaPACA2_ARHGEF10","MiaPACA2_ARHGEF10.Detection_Pval","Hs766T_shGFP","Hs766T_shGFP.Detection_Pval","Hs766T_shARHGEF10","Hs766T_shARHGEF10.Detection_Pval"
"B4GALNT2",1,101.3,0.90345,302.2,0.14138,307.5,0.37586,117.1,0.80345
"B4GALNT3",1,147.9,0,647.1,0,341.2,0.11724,123.2,0.55517
"B4GALNT4",1,160,0,4289.7,0,308.6,0.36552,149.5,0.05517
"B4GALT1",1,227.2,0,4725.1,0,14248.4,0,920.6,0
"B4GALT2",3,376.7,0.0758633333333333,3143.9,0,2500.56666666667,0,732.866666666667,0.0540233333333333
"B4GALT3",1,1455.8,0,5175.7,0,6337.5,0,1725.7,0
"B4GALT4",2,865.9,0,10093.5,0,9507.45,0,868.85,0
"B4GALT5",1,2803.2,0,13322.7,0,20005.9,0,8933.5,0
"B4GALT6",1,157.6,0,1077.3,0,4081.8,0,397.8,0
"B4GALT7",1,223.8,0,4476.6,0,6407.9,0,550.6,0
"B9D1",1,1189.2,0,12885.6,0,10748.6,0,2716.7,0
"B9D2",1,369.5,0,2880.1,0,4439,0,615.3,0
"BAALC",2,118.6,0.39138,296.3,0.30345,1216.2,0,755.8,0
"BAAT",1,112.9,0.28966,481.1,0,497.1,0.0069,125.2,0.48276
"BACE1",2,349.9,0,3056.75,0.006895,4477.9,0.00517,781.05,0.02931
"BACE2",2,606.75,0,9458.75,0,9738.65,0,1510.55,0
"BACH1",3,522.7,0,4225.73333333333,0,5797.13333333333,0,1539.7,0.01954
