"GENE_SYMBOL","UL_mean","nonUL_mean","gliomaMeans","gliomaMeans_CBD","sebumMeans","sebum_CBDtreated_Means","pancreaticMeans","DE_incr_ARHGFE10_pancr","DE_decr_ARHGFE10_pancr","FC_incr_ARHGFE10_pancr","FC_decr_ARHGFE10_pancr"
"RHBDL1",150.49,326.450980392157,7.58813666666667,7.77549333333333,11.8758,11.667777,159.1,504.2,-404.1,4.16907605279698,0.261917808219178
"RHCG",11.8014285714286,9.65686274509804,6.34151666666667,6.38959666666667,4.2543,4.374102,101.4,161.8,-216,2.5956607495069,0.386712095400341
"RHD",9.17261904761905,11.2199346405229,5.85403,5.94128666666667,2.226,2.975039,100.4,176.3,-176.7,2.75597609561753,0.436363636363636
"RHEB",763.353777777778,796.583267973856,11.6910333333333,11.4986666666667,11.2274,11.453078,2393.8,7476.3,-7607.9,4.12319324922717,0.23839508273853
"RHO",40.61,71.6320261437908,6.66514333333333,6.60368,3.4231,3.490365,102.3,167.2,-167.5,2.63440860215054,0.444444444444444
"RHOA",2064.45190476191,2381.27973856209,12.9530333333333,13.0179,12.2682,12.27754,10006.6,10791.1,-8414.5,2.07839825715028,0.58278378834006
"RHOB",586.962,842.384705882353,10.19888,10.3386666666667,4.3757,4.143966,723.9,12238,-7706,17.9056499516508,0.0268973355221619
"RHOBTB2",44.4042857142857,59.5186274509804,8.27511,8.64291666666667,8.6993,8.202174,150.9,2282.3,-4394,16.1245858184228,0.046151174401945
"RHOBTB3",77.9108333333333,91.5650326797385,11.2633333333333,11.2758,7.1822,6.927621,113.9,206.2,-743.7,2.81035996488148,0.141224018475751
"RHOC",1407.05285714286,1829.78725490196,12.0565333333333,11.8797666666667,14.2624,14.399854,2759.65,7607.1,-7425.95,3.756545214067,0.375724025455432
"RHOD",176.674285714286,172.085294117647,7.90276666666667,7.92969666666667,10.9456,11.203447,218.5,2643.6,-7556.1,13.0988558352403,0.0487454836151222
"RHOF",45.9753571428571,41.2848039215686,7.64617,7.44206666666667,8.6381,8.766728,404.3,5818.8,-4791.8,15.3922829581994,0.0936465603661881
"RHOG",355.185714285714,355.080392156863,10.5664666666667,10.5174,9.7626,9.476181,648.2,7706.7,-12535.7,12.8893859919778,0.143660297704031
"RHOH",20.3492857142857,27.7372549019608,5.71141666666667,5.69265666666667,2.6756,2.975039,113.1,201.9,-235.3,2.78514588859416,0.325981094242337
"RHOQ",430.221238095238,494.452026143791,10.5343666666667,10.5824666666667,5.4161,5.576236,4340.3,5376.65,-6681.35,2.23877381747805,0.436871560174299
"RHOT2",162.84619047619,149.847712418301,9.03791333333333,9.17798666666667,9.131,9.252533,1121.9,9323.6,-11633.6,9.31054461181923,0.223857495496698
